method,lam,mu_used,confidence,alpha,N,breaches,breach_rate,kupiec_pvalue,christoffersen_pvalue,kupiec_pass_0.05,christ_pass_0.05
ewma,0.94,0.0008017831151677069,0.99,0.01,390,9,0.023076923076923078,0.0265455351175643,0.191831237169916,False,True
ewma,0.94,0.0008017831151677069,0.95,0.05,390,22,0.05641025641025641,0.5688927766632177,0.1488728164183114,True,True
