t,portfolio_return,ewma_sigma,ewma_var_thr_95,ewma_var_thr_99
0,-0.0011998924924047,0.007003651213137838,-0.010718197984665149,-0.015491145995039058
1,0.0092127844741001,0.006796649690543836,-0.010377710779441926,-0.015009588443029282
2,0.0031803714377186,0.006965292819471744,-0.01065510404171944,-0.015401911027482318
3,0.005299354991596,0.006797887286961806,-0.010379746444398727,-0.015012467522825148
4,0.0007020407862635,0.006717409104102557,-0.010247371613432227,-0.014825247273223865
5,0.0070293420266652,0.006515039650186465,-0.009914503483174155,-0.014354465524335358
6,-0.0031766665208803,0.006547037200487115,-0.009967134769839741,-0.01442890295745179
7,-0.0041156913386482,0.006395103357208649,-0.00971722583666648,-0.014075451984146076
8,-0.0052644500101623,0.006281706857544363,-0.009530705192910077,-0.013811652278228392
9,0.0059234840914049,0.0062253607619191485,-0.009438024113156388,-0.013680571658460173
10,-0.0014493946379651,0.006207662156234634,-0.00940891249740423,-0.013639398544752514
11,-0.0077732368238473,0.006029014012936484,-0.009115062450952123,-0.013223800816389521
12,-0.0037808141655177,0.006147638734772105,-0.009310182754909553,-0.013499763185840502
13,0.0092074521305255,0.006031875963390237,-0.009119769940536133,-0.013230458708743219
14,6.636875857113925e-05,0.006267945952512396,-0.00950807051835811,-0.013779639626062398
15,0.001704494313287,0.0060770208132378805,-0.00919402661054621,-0.013335481334210177
16,0.0101187535094831,0.005906664803296058,-0.00891381590972042,-0.012939173992651938
17,-0.0099367526688452,0.006240089591322168,-0.009462250881620695,-0.013714836039428998
18,-0.0124810141781421,0.006521252811950459,-0.009924723224836497,-0.014368919499996097
19,-0.0160969385626532,0.007022939330367913,-0.010749924114248103,-0.015536016865551493
20,-0.0022691781373947,0.007868231192150922,-0.012140305498934448,-0.01750245979115442
21,0.0135847448375724,0.0076487560121043414,-0.011779300953009003,-0.01699188417264833
22,0.0040969867359004,0.008128098052979994,-0.012567748447493641,-0.0181070005103778
23,0.0018012327632828,0.007944125962003269,-0.012265141286392727,-0.017679017427651246
24,0.0095308771881695,0.007714742732600699,-0.01188783944954807,-0.017145392239589958
25,0.0034286946105769,0.007835590424655986,-0.012086616214133922,-0.017426526011085516
26,0.0084244498956853,0.007643169857378473,-0.011770112546147446,-0.01697888883347774
27,0.0034512912579921,0.007692284712834625,-0.011850899294281694,-0.017093147073051984
28,0.0039488926482184,0.007505708103700827,-0.01154400808204366,-0.016659104975047825
29,-0.0010966775219406,0.007341058512129695,-0.011273183604171804,-0.016276072747734627
30,0.0028985566373709,0.00712248789181343,-0.010913666926599562,-0.015767601449834096
31,-0.0048424241775286,0.006941911954043352,-0.010616645940418288,-0.015347519000899744
32,0.0088553328513483,0.006834155207334364,-0.010439401864765515,-0.01509683932227973
33,-0.0011184142801154,0.00697196901517422,-0.010666085406434897,-0.015417442181161456
34,-0.0018093394154075,0.006765123935431958,-0.01032585552680377,-0.014936248569647233
35,-0.0011570747576421,0.006573987397102154,-0.010011463898489044,-0.014491598490052169
36,0.001415010597782,0.006380015752261809,-0.009692408934947659,-0.014040352966453628
37,0.0041723610919313,0.006195357958881183,-0.00938867389376068,-0.013610774701397535
38,-0.0069650966792907,0.006092949076534269,-0.009220226272200312,-0.013372536015666892
39,0.0006056744499634,0.006148767441316787,-0.009312039311963338,-0.01350238894991114
40,-0.0009954505462605,0.005963296997208328,-0.009006967579279239,-0.013070920176562017
41,-0.007547045493099,0.005786770404958369,-0.00871660717376351,-0.01266025791396965
42,0.0088928291422201,0.005907197538343735,-0.008914692180895798,-0.01294041331969753
43,0.0019091023892709,0.006127497727519495,-0.009277053746079643,-0.013452908196437354
44,0.0047931752989862,0.005959205904537481,-0.0090002383306614,-0.013061402871824687
45,0.0075141262730675,0.005895750900328354,-0.008895864136839798,-0.012913784457685533
46,0.0038894063017893,0.006005165407951345,-0.009075834986544584,-0.013168320664883503
47,0.0035678738566072,0.0058996559022597254,-0.008902287293429866,-0.012922868850626703
48,-0.0027369447932069,0.005786308565101208,-0.008715847514799386,-0.012659183513799795
49,-0.0025959505783655,0.005649950159956593,-0.008491557897531948,-0.012341966427884021
50,0.009501920549986,0.0055146131474213935,-0.008268948321602649,-0.012027125456493721
51,-0.001035360779223,0.005831251179984009,-0.008789771537894045,-0.012763735670386234
52,0.0010805738493164,0.005659293173286766,-0.00850692578689474,-0.012363701527081805
53,0.0014761901760081,0.00549326875899652,-0.008233839926886935,-0.011977470983858814
54,-0.0012853843806864,0.005338182256648578,-0.007978745331008704,-0.01161668582882925
55,0.0064025542663416,0.005185127886296788,-0.007726993294814789,-0.011260628119748704
56,-0.0017493864811717,0.0052661162343252904,-0.007860207272810279,-0.01144903519100689
57,0.0001425644432207,0.0051236395819231175,-0.007625854034350661,-0.011117584933590639
58,-0.0030496657675705,0.004967675622335922,-0.007369316149749949,-0.010754758507777976
59,-0.0019861286123108,0.004873926620401566,-0.0072151127638951425,-0.010536665716434536
60,-0.0029811034748233,0.0047504245569079265,-0.007011969946821638,-0.01024935695358645
61,0.004499529558582,0.0046632349434998065,-0.006868555794974796,-0.010046523581796028
62,-0.0033862392108854,0.004653575024096439,-0.006852666641508109,-0.0100240512488286
63,0.0019580698730746,0.004587418864045531,-0.006743849441703189,-0.009870149006539462
64,0.0042251988660766,0.004473453853771075,-0.00655639368120769,-0.00960502674717244
65,0.0014141224295582,0.004458948345337029,-0.006532534243049174,-0.009571281888465014
66,0.0071935919718457,0.004336965720448753,-0.006331890680076632,-0.009287507868386252
67,0.0002411962387317,0.004559120670498961,-0.006697303055411939,-0.009804317564143203
