confidence,alpha,N,breaches,breach_rate,expected_breaches,kupiec_pvalue,pass_0.05
0.99,0.010000000000000009,390,4,0.0102564102564102,0.01,0.9595812706537657,True
0.95,0.050000000000000044,390,20,0.0512820512820512,0.05,0.9078872341973901,True
