,XIU,VFV,XEF,ZAG,GLD,RY
XIU,1.0,0.7715880215021306,0.7449827654749935,0.09473232349601685,0.28627623300958505,0.6687069733623919
VFV,0.7715880215021306,1.0,0.7493712467701794,0.05266155209429905,-0.035254797410694184,0.45734577190673187
XEF,0.7449827654749935,0.7493712467701794,1.0,0.1525237427734234,0.1681206979809217,0.5133358890548207
ZAG,0.09473232349601685,0.05266155209429905,0.1525237427734234,1.0,0.06647030355591867,0.05753958827235274
GLD,0.28627623300958505,-0.035254797410694184,0.1681206979809217,0.06647030355591867,1.0,0.12611054483169942
RY,0.6687069733623919,0.45734577190673187,0.5133358890548207,0.05753958827235274,0.12611054483169942,1.0
