confidence,Hist_VaR,Hist_CVaR,Param_VaR,Param_CVaR
95%,0.00973763801953901,0.014688991036429011,0.009550323288889986,0.012180175956719637
99%,0.01766359366334659,0.025534065863192727,0.013839398525753277,0.015972099220954276
